event,type,extras,date,calendar_system
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2022-08-31,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2022-09-05,gregorian_fixed
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2022-09-08,other
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2022-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2022-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2022-09-23,astronomy
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2022-09-26,hindu_lunar
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2022-10-02,gregorian_fixed
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2022-10-03,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2022-10-04,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2022-10-05,hindu_lunar
Eid-e-Milad,Religional Festival,based on Islamic calendar,2022-10-08,islamic
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2022-10-09,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2022-10-13,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2022-10-24,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2022-10-26,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2022-10-30,hindu_lunar
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2022-11-08,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2022-11-14,gregorian_fixed
World AIDS Day,Good to know,fixed day in Gregorian calendar,2022-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2022-12-22,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2022-12-25,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2022-12-29,hindu_lunar
English New Year,Religional Festival,first day of Gregorian calendar,2023-01-01,gregorian_fixed
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2023-01-02,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2023-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2023-01-14,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2023-01-15,other
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2023-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2023-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2023-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2023-02-04,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2023-02-05,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2023-02-14,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2023-02-15,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2023-02-18,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2023-02-19,gregorian_fixed
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2023-02-21,hindu_lunar
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2023-03-07,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2023-03-08,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2023-03-10,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2023-03-21,parsi
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2023-03-22,hindu_lunar
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2023-03-23,gregorian_fixed
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2023-03-30,hindu_lunar
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2023-04-01,gregorian_fixed
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2023-04-04,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2023-04-07,other
Easter,Religional Festival,based on Christian calendar,2023-04-09,other
Baisakhi,Religional Festival,observed on Mesha Sankranti,2023-04-14,other
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2023-04-16,hindu_lunar
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2023-04-21,islamic
Earth Day,Good to know,fixed day in Gregorian calendar,2023-04-22,gregorian_fixed
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2023-04-25,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2023-05-01,gregorian_fixed
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2023-05-05,hindu_lunar
World Laughter Day,Good to know,1st Sunday of May,2023-05-07,other
Mother's Day,Good to know,2nd Sunday of May,2023-05-14,other
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2023-05-22,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2023-05-31,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2023-06-04,hindu_lunar
World Environment Day,Good to know,fixed day in Gregorian calendar,2023-06-05,gregorian_fixed
Father's Day,Good to know,3rd Sunday of June,2023-06-18,other
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2023-06-20,hindu_lunar
International Yoga Day,Good to know,fixed day in Gregorian calendar,2023-06-21,gregorian_fixed
Bakrid,Religional Festival,based on Islamic calendar,2023-06-29,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2023-07-03,hindu_lunar
Islamic New Year,Religional Festival,based on Islamic calendar,2023-07-19,islamic
Muharram,Religional Festival,based on Islamic calendar,2023-07-28,islamic
Friendship Day,Good to know,1st Sunday of August,2023-08-06,other
Independence Day,Government Holiday,fixed day in Gregorian calendar,2023-08-15,gregorian_fixed
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2023-08-23,hindu_lunar
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2023-08-29,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2023-08-30,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2023-09-05,gregorian_fixed
Janmashtami *Smarta,Religional Festival,"Bhadrapada, Krishna Ashtami",2023-09-06,hindu_lunar
Janmashtami *ISKCON,Religional Festival,"Bhadrapada, Krishna Ashtami",2023-09-07,hindu_lunar
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2023-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2023-09-15,gregorian_fixed
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2023-09-19,hindu_lunar
Autumnal Equinox,Religional Festival,Astronomy Event,2023-09-23,astronomy
Eid-e-Milad,Religional Festival,based on Islamic calendar,2023-09-27,islamic
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2023-10-02,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2023-10-15,hindu_lunar
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2023-10-22,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2023-10-23,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2023-10-24,hindu_lunar
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2023-10-28,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2023-11-01,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2023-11-12,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2023-11-14,gregorian_fixed
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2023-11-19,hindu_lunar
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2023-11-27,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2023-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2023-12-22,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2023-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2024-01-01,gregorian_fixed
National Youth Day,Good to know,fixed day in Gregorian calendar,2024-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2024-01-14,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2024-01-15,other
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2024-01-17,hindu_lunar
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2024-01-21,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2024-01-23,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2024-01-24,islamic
Republic Day,Government Holiday,fixed day in Gregorian calendar,2024-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2024-01-30,gregorian_fixed
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2024-02-02,hindu_lunar
World Cancer Day,Good to know,fixed day in Gregorian calendar,2024-02-04,gregorian_fixed
Valentine's Day,Good to know,fixed day in Gregorian calendar,2024-02-14,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2024-02-19,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2024-02-24,hindu_lunar
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2024-03-05,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2024-03-08,gregorian_fixed
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2024-03-12,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2024-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2024-03-23,gregorian_fixed
Holika Dahan,Religional Festival,"Phalguna, Shukla Purnima",2024-03-24,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2024-03-25,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2024-03-28,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2024-03-29,other
Easter,Religional Festival,based on Christian calendar,2024-03-31,other
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2024-04-01,gregorian_fixed
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2024-04-05,islamic
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2024-04-09,hindu_lunar
Ramadan,Religional Festival,based on Islamic calendar,2024-04-10,islamic
Baisakhi,Religional Festival,observed on Mesha Sankranti,2024-04-13,other
Ambedkar Jayanti,Government Holiday,fixed day in Gregorian calendar,2024-04-14,gregorian_fixed
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2024-04-17,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2024-04-21,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2024-04-22,gregorian_fixed
International Workers' Day,Good to know,fixed day in Gregorian calendar,2024-05-01,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2024-05-04,hindu_lunar
World Laughter Day,Good to know,1st Sunday of May,2024-05-05,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2024-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2024-05-12,other
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2024-05-23,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2024-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2024-06-05,gregorian_fixed
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2024-06-09,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2024-06-16,other
Bakrid,Religional Festival,based on Islamic calendar,2024-06-17,islamic
International Yoga Day,Good to know,fixed day in Gregorian calendar,2024-06-21,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2024-06-22,hindu_lunar
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2024-07-07,hindu_lunar
Islamic New Year,Religional Festival,based on Islamic calendar,2024-07-08,islamic
Muharram,Religional Festival,based on Islamic calendar,2024-07-17,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2024-07-21,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2024-08-04,other
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2024-08-11,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2024-08-15,gregorian_fixed
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2024-08-19,hindu_lunar
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2024-08-26,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2024-09-05,gregorian_fixed
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2024-09-07,hindu_lunar
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2024-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2024-09-15,gregorian_fixed
Eid-e-Milad,Religional Festival,based on Islamic calendar,2024-09-16,islamic
Autumnal Equinox,Religional Festival,Astronomy Event,2024-09-22,astronomy
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2024-10-02,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2024-10-03,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2024-10-11,hindu_lunar
Dussehra,Religional Festival,"Ashwina, Shukla Dashami",2024-10-12,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2024-10-13,hindu_lunar
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2024-10-17,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2024-10-20,hindu_lunar
Narak Chaturdashi,Religional Festival,"Kartika, Krishna Chaturdashi",2024-10-31,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2024-11-01,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2024-11-02,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2024-11-03,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2024-11-07,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2024-11-14,gregorian_fixed
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2024-11-15,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2024-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2024-12-21,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2024-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2025-01-01,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2025-01-06,hindu_lunar
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2025-01-10,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2025-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2025-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2025-01-14,other
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2025-01-21,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2025-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2025-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2025-01-30,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2025-02-02,hindu_lunar
World Cancer Day,Good to know,fixed day in Gregorian calendar,2025-02-04,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2025-02-12,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2025-02-14,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2025-02-19,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2025-02-23,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2025-02-26,hindu_lunar
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2025-03-01,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2025-03-08,gregorian_fixed
Holika Dahan,Religional Festival,"Phalguna, Shukla Purnima",2025-03-13,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2025-03-14,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2025-03-17,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2025-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2025-03-23,gregorian_fixed
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2025-03-28,islamic
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2025-03-30,hindu_lunar
Ramadan,Religional Festival,based on Islamic calendar,2025-03-31,islamic
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2025-04-01,gregorian_fixed
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2025-04-06,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2025-04-10,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2025-04-14,other
Good Friday,Religional Festival,based on Christian calendar,2025-04-18,other
Easter,Religional Festival,based on Christian calendar,2025-04-20,other
Earth Day,Good to know,fixed day in Gregorian calendar,2025-04-22,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2025-04-24,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2025-05-01,gregorian_fixed
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2025-05-02,hindu_lunar
World Laughter Day,Good to know,1st Sunday of May,2025-05-04,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2025-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2025-05-11,other
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2025-05-12,hindu_lunar
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2025-05-29,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2025-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2025-06-05,gregorian_fixed
Bakrid,Religional Festival,based on Islamic calendar,2025-06-07,islamic
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2025-06-11,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2025-06-15,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2025-06-21,gregorian_fixed
Islamic New Year,Religional Festival,based on Islamic calendar,2025-06-27,islamic
Muharram,Religional Festival,based on Islamic calendar,2025-07-06,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2025-07-10,hindu_lunar
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2025-07-31,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2025-08-03,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2025-08-09,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2025-08-15,gregorian_fixed
Janmashtami *ISKCON,Religional Festival,"Bhadrapada, Krishna Ashtami",2025-08-16,hindu_lunar
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2025-08-27,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2025-09-05,gregorian_fixed
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2025-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2025-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2025-09-22,astronomy
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2025-09-30,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2025-10-01,hindu_lunar
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2025-10-02,gregorian_fixed
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2025-10-07,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2025-10-10,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2025-10-20,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2025-10-22,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2025-10-23,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2025-10-27,hindu_lunar
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2025-11-05,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2025-11-14,gregorian_fixed
World AIDS Day,Good to know,fixed day in Gregorian calendar,2025-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2025-12-21,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2025-12-25,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2025-12-27,hindu_lunar
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2025-12-30,hindu_lunar
English New Year,Religional Festival,first day of Gregorian calendar,2026-01-01,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2026-01-02,islamic
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2026-01-09,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2026-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2026-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2026-01-14,other
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2026-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2026-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2026-01-30,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2026-02-01,hindu_lunar
World Cancer Day,Good to know,fixed day in Gregorian calendar,2026-02-04,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2026-02-12,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2026-02-14,gregorian_fixed
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2026-02-15,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2026-02-19,gregorian_fixed
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2026-03-03,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2026-03-04,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2026-03-06,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2026-03-08,gregorian_fixed
Gudi Padwa,Religional Festival,"Chaitra, Shukla Pratipada",2026-03-19,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2026-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2026-03-23,gregorian_fixed
Rama Navami *Smarta,Religional Festival,"Chaitra, Shukla Navami",2026-03-26,hindu_lunar
Rama Navami *ISKCON,Religional Festival,"Chaitra, Shukla Navami",2026-03-27,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2026-03-31,hindu_lunar
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2026-04-01,gregorian_fixed
Good Friday,Religional Festival,based on Christian calendar,2026-04-03,other
Easter,Religional Festival,based on Christian calendar,2026-04-05,other
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2026-04-13,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2026-04-14,other
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2026-04-21,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2026-04-22,gregorian_fixed
International Workers' Day,Good to know,fixed day in Gregorian calendar,2026-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2026-05-03,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2026-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2026-05-10,other
Bakrid,Religional Festival,based on Islamic calendar,2026-05-27,islamic
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2026-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2026-06-05,gregorian_fixed
Islamic New Year,Religional Festival,based on Islamic calendar,2026-06-17,islamic
International Yoga Day,Good to know,fixed day in Gregorian calendar,2026-06-21,gregorian_fixed
Muharram,Religional Festival,based on Islamic calendar,2026-06-26,islamic
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2026-06-29,hindu_lunar
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2026-07-16,hindu_lunar
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2026-07-29,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2026-08-02,other
Independence Day,Government Holiday,fixed day in Gregorian calendar,2026-08-15,gregorian_fixed
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2026-08-19,hindu_lunar
Eid-e-Milad,Religional Festival,based on Islamic calendar,2026-08-26,islamic
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2026-08-28,hindu_lunar
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2026-09-04,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2026-09-05,gregorian_fixed
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2026-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2026-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2026-09-23,astronomy
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2026-10-02,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2026-10-11,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2026-10-19,hindu_lunar
Dussehra,Religional Festival,"Ashwina, Shukla Dashami",2026-10-20,hindu_lunar
